id       ,user_id,opponent_race_result_id,result,type    ,drift_points,settings,created_at                ,updated_at,coins_reward,elo_delta,opponent_elo_delta
129307624,2896460,128901592              ,us    ,battle  ,2702        ,        ,2017-02-01 00:01:19.756436,          ,7000        ,15       ,-5
129307625,2567045,128650555              ,them  ,quali   ,3261        ,        ,2017-02-01 00:01:20.985621,          ,1500        ,0        ,0
129307626,2896572,128967164              ,them  ,battle  ,2035        ,        ,2017-02-01 00:01:21.284741,          ,3000        ,-5       ,10
129307627,2880564,129282662              ,them  ,battle  ,1702        ,        ,2017-02-01 00:01:22.072419,          ,700         ,-5       ,10
129307628,2930210,128871918              ,them  ,battle  ,2170        ,        ,2017-02-01 00:01:22.640655,          ,1700        ,-5       ,10
129307629,2909673,128560729              ,them  ,battle  ,1314        ,        ,2017-02-01 00:01:22.759828,          ,1700        ,-5       ,10
129307630,2770870,129272133              ,them  ,battle  ,1754        ,        ,2017-02-01 00:01:22.88534 ,          ,7000        ,-5       ,10
129307631,2891290,128880373              ,us    ,battle  ,3219        ,        ,2017-02-01 00:01:23.145094,          ,7000        ,14       ,-5
129307632,1284415,128972076              ,them  ,battle  ,556         ,        ,2017-02-01 00:01:23.339041,          ,1700        ,-5       ,10
129307633,848404 ,129172192              ,us    ,battle  ,1648        ,        ,2017-02-01 00:01:23.762106,          ,7000        ,14       ,-5
129307634,2914747,128942218              ,us    ,battle  ,1287        ,        ,2017-02-01 00:01:23.956816,          ,1000        ,15       ,-5
129307635,2922795,129174744              ,them  ,quali   ,984         ,        ,2017-02-01 00:01:24.006773,          ,1500        ,0        ,0
129307636,262628 ,129301389              ,us    ,battle  ,2929        ,        ,2017-02-01 00:01:24.030064,          ,3800        ,15       ,-5
129307637,2945442,129259053              ,us    ,battle  ,1998        ,        ,2017-02-01 00:01:24.201507,          ,1000        ,14       ,-5
129307638,2064733,129114565              ,them  ,battle  ,            ,        ,2017-02-01 00:01:24.425513,          ,7000        ,-5       ,10
129307639,2241042,129304596              ,them  ,battle  ,1280        ,        ,2017-02-01 00:01:24.701508,          ,5000        ,-5       ,10
129307640,2831210,129256857              ,them  ,battle  ,1970        ,        ,2017-02-01 00:01:24.995256,          ,3000        ,-5       ,10
